000539,粤电力A,4.63,0.16,3.58
000541,佛山照明,5.18,0.02,0.39
000543,皖能电力,4.79,0.06,1.27
000544,中原环保,5.07,0.02,0.40
000545,金浦钛业,3.13,0.02,0.64
000546,金圆股份,8.66,-0.07,-0.80
000547,航天发展,7.56,-0.03,-0.40
000548,湖南投资,4.38,-0.04,-0.90
000550,江铃汽车,12.76,-0.24,-1.85
000551,创元科技,5.81,-0.03,-0.51
000552,靖远煤电,2.56,-0.01,-0.39
000553,沙隆达A,9.13,0.00,0.00
000554,泰山石油,5.12,-0.13,-2.48
000555,神州信息,9.34,-0.03,-0.32
000557,西部创业,3.43,0.00,0.00
000558,莱茵体育,2.90,0.03,1.05
000559,万向钱潮,5.12,-0.01,-0.19
000560,我爱我家,4.67,0.12,2.64
000561,烽火电子,5.61,0.01,0.18
000563,陕国投A,2.68,0.01,0.37
000564,供销大集,2.53,0.01,0.40
000565,渝三峡A,4.26,-0.09,-2.07
000566,海南海药,5.12,0.09,1.79
000567,海德股份,11.12,0.08,0.72
000568,泸州老窖,40.66,0.56,1.40
000570,苏常柴A,3.74,0.04,1.08
000571,新大洲A,3.43,0.04,1.18
000572,海马汽车,2.13,0.03,1.43
000573,粤宏远A,3.05,0.02,0.66
000576,广东甘化,6.00,0.03,0.50
000581,威孚高科,17.66,0.17,0.97
000582,北部湾港,7.04,-0.02,-0.28
000584,哈工智能,6.28,-0.06,-0.95
000585,*ST东电,2.04,0.05,2.51
000586,汇源通信,11.57,0.42,3.77
000587,金洲慈航,2.35,0.02,0.86
000589,黔轮胎A,3.35,0.00,0.00
000590,启迪古汉,7.60,0.14,1.88
000591,太阳能,2.96,0.03,1.02
000592,平潭发展,2.67,0.00,0.00
000593,大通燃气,6.45,-0.11,-1.68
000595,宝塔实业,2.54,0.08,3.25
000596,古井贡酒,53.96,0.39,0.73
000597,东北制药,10.16,0.09,0.89
000598,兴蓉环境,4.03,0.01,0.25
000599,青岛双星,3.70,-0.05,-1.33
000600,建投能源,5.02,0.01,0.20
000601,韶能股份,3.72,0.02,0.54
000603,盛达矿业,10.00,0.10,1.01
000605,渤海股份,9.49,0.09,0.96
000606,顺利办,5.95,-0.09,-1.49
000607,华媒控股,4.05,-0.05,-1.22
000608,阳光股份,4.90,0.03,0.62
000609,中迪投资,5.25,0.03,0.57
000610,西安旅游,7.49,-0.01,-0.13
000611,天首发展,5.55,-0.05,-0.89
000612,焦作万方,3.96,-0.04,-1.00
000613,大东海A,7.47,0.22,3.03
000615,京汉股份,5.31,0.01,0.19
